"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.7551574707031","94.5508117675781","99.8546524047852","101.859802246094","92.6345596313477","96.8705520629883","98.3169708251953","102.517478942871","105.089408874512","102.462379455566","96.0544204711914","99.1792068481445","","","106.451606750488","105.899711608887","","","","","","","","","",
"Africa Eastern and Southern","AFE","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","37.4372482299805","38.1651306152344","39.1263198852539","39.9748687744141","40.7140693664551","42.0730781555176","43.4300918579102","45.8736305236816","46.7124481201172","48.316291809082","49.2252311706543","50.3462409973145","53.6766014099121","50.5848197937012","50.4597282409668","49.247631072998","47.8259201049805","46.2557487487793","47.5599212646484","48.7419204711914","47.6988716125488","49.1685791015625","48.0069618225098","48.3121185302734","48.5949516296387","48.0526809692383","46.7477912902832","46.6758804321289","46.0275611877441","47.7588996887207","49.0595703125","50.387321472168","51.5182991027832","54.0191802978516","56.8660507202148","58.6743316650391","62.226879119873","66.53466796875","66.8119506835938","65.3146133422852","65.6348571777344","65.8458023071289","66.0197372436523","65.95654296875","66.8360366821289","67.9153594970703","69.0454788208008","69.4121704101562","70.1640319824219","71.0271835327148","","",
"Afghanistan","AFG","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","4.69612979888916","","","5.8217601776123","6.66129016876221","","9.44297027587891","13.984769821167","","","12.9104795455933","12.1153602600098","","","","","","","","17.0720405578613","","","","","","","","","","","","","","","","","","","","","","","65.5676116943359","69.0419235229492","69.7666091918945","67.502799987793","","","","",
"Africa Western and Central","AFW","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","44.6791114807129","44.6883201599121","44.4949989318848","45.1592597961426","45.7615814208984","46.2713394165039","47.285831451416","47.4605407714844","47.9665603637695","48.5355491638184","48.7898216247559","48.9982986450195","49.1733818054199","49.2759590148926","49.695011138916","49.9051208496094","49.7629814147949","49.5708694458008","49.7946510314941","49.8466911315918","50.1471405029297","50.2841796875","50.3575401306152","50.2403297424316","50.9124183654785","50.9613189697266","51.3967781066895","51.7139892578125","52.3688011169434","53.0450210571289","53.428409576416","54.0705718994141","54.3643608093262","56.4012298583984","58.999870300293","56.6535415649414","55.369010925293","58.2451782226562","59.6769790649414","61.2549514770508","63.1016616821289","63.1099891662598","63.6952590942383","64.7468032836914","65.3881683349609","64.9416580200195","65.2343292236328","65.3579864501953","65.7212295532227","66.3426132202148","65.3924865722656","",
"Angola","AGO","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.5583992004395","36.4576797485352","36.21923828125","35.8636512756348","","","","","","","","","","","","",
"Albania","ALB","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.5802612304688","","","","99.1564102172852","100.243293762207","","98.8282928466797","97.2741012573242","","","106.923049926758","104.311073303223","105.501022338867","102.074600219727","108.638488769531","115.315078735352","97.0533981323242","113.020072937012","106.098831176758","106.861022949219","107.616058349609","104.547821044922","97.6936264038086","97.3533020019531","95.5663833618164","94.7844161987305","",
"Andorra","AND","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.7492370605469","102.424240112305","106.194686889648","","","","","","","","","","65.6756820678711","68.6015777587891","64.207649230957","66.0919494628906","62.3595504760742","61.9946098327637","61.6438407897949","60.0928115844727","","",
"Arab World","ARB","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","38.6914482116699","38.4340591430664","38.1274108886719","39.0597305297852","39.8877410888672","42.1523208618164","43.8737182617188","45.6769104003906","44.572509765625","41.9251594543457","45.9768600463867","49.1043090820312","50.3008193969727","51.6518211364746","53.7834281921387","57.3525314331055","57.0940399169922","57.2236213684082","58.3151893615723","58.8586311340332","60.5270385742188","61.0326690673828","62.0278396606445","62.4593887329102","63.4353981018066","64.6943130493164","66.0268707275391","67.078727722168","68.4541473388672","69.8487091064453","70.0456466674805","71.3197708129883","72.5099105834961","73.982177734375","75.6805801391602","76.3976898193359","75.2619705200195","77.1240386962891","78.5119705200195","77.6030578613281","78.5011596679688","79.0381698608398","80.0674362182617","77.9984664916992","77.8369598388672","77.5547637939453","77.5248870849609","77.7075881958008","78.7158432006836","79.2065200805664","80.3110275268555","80.4364776611328","80.5512619018555","",
"United Arab Emirates","ARE","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","31.482780456543","43.2441482543945","50.2436103820801","56.5296096801758","58.1019592285156","63.166561126709","67.4396896362305","72.1637420654297","81.6128082275391","84.1032562255859","84.1941528320312","79.2840881347656","82.8166427612305","80.9661331176758","75.5915298461914","79.7032928466797","86.0195465087891","92.0921325683594","92.1190032958984","91.0666122436523","91.9542694091797","91.441650390625","87.9795913696289","86.6882781982422","86.7059478759766","91.7437591552734","95.1232070922852","97.5416412353516","97.4715805053711","","","","","","","","","","98.8578720092773","105.104248046875","112.580551147461","120.700309753418","","","","123.045280456543","107.778106689453","","","",
"Argentina","ARG","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","73.1060562133789","75.0981597900391","","","","81.6728286743164","81.0571594238281","","","","","","","","","","","","","","","","","","","","94.6956024169922","94.9833297729492","103.833137512207","100.894821166992","100.942520141602","100.522903442383","103.205833435059","100.646942138672","98.8051834106445","95.7585906982422","96.6716003417969","99.4710311889648","103.054336547852","103.559028625488","103.731307983398","103.920051574707","104.117866516113","103.587631225586","105.598808288574","106.296783447266","107.820762634277","102.229911804199","101.081398010254","101.146430969238","105.180068969727","106.392417907715","","",
